regimen,metric,q025,q50,q975,mean
R1,css_max,10.169147334650683,10.814814635972553,11.432539137812435,10.822561461872374
R1,css_min,1.7419935622893545,2.3002014374409265,3.0670707530794097,2.3233412450984376
R1,p_in_window,,,,0.0345
R2,css_max,7.121105451338645,7.80545544977725,8.483779684166551,7.804052973715588
R2,css_min,3.689993584396589,4.286177224047895,5.064241556059354,4.304757957692174
R2,p_in_window,,,,1.0
R3,css_max,17.740769729979316,18.665875005016286,19.475247781870298,18.65522666807308
R3,css_min,0.2989948225267236,0.5428533765972405,0.9902604340212949,0.5659529613691278
R3,p_in_window,,,,0.0
R4,css_max,7.626860500988012,8.111110976979415,8.574404353359327,8.116921096404281
R4,css_min,1.3064951717170161,1.7251510780806947,2.300303064809557,1.7425059338238282
R4,p_in_window,,,,0.0
